year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,salary_range,salary_skew,employment_quality_ratio
2021,Singapore Institute Of Technology,Sit- Newcastle University,Bachelor Of Engineering With Honours In Electrical Power Engineering,98.3,84.5,3583.0,3500.0,3691.0,3600.0,3500.0,3850.0,350.0,91.0,0.8596134282807731
2021,Singapore Institute Of Technology,Sit- Newcastle University,Bachelor Of Engineering With Honours In Marine Engineering ^,100.0,90.5,3598.0,3500.0,3819.0,3750.0,3400.0,4250.0,850.0,69.0,0.905
2021,Singapore Institute Of Technology,Sit- Newcastle University,Bachelor Of Engineering With Honours In Mechanical Design And Manufacturing Engineering,93.4,90.2,3646.0,3600.0,3787.0,3650.0,3600.0,4000.0,400.0,137.0,0.9657387580299786
2021,Singapore Institute Of Technology,Sit- Newcastle University,Bachelor Of Engineering With Honours In Naval Architecture ^,100.0,95.7,3476.0,3300.0,3592.0,3400.0,3250.0,3850.0,600.0,192.0,0.9570000000000001
2021,Singapore Institute Of Technology,Sit- Newcastle University,Bachelor Of Engineering With Honours In Offshore Engineering ^,82.4,70.6,3513.0,3500.0,3575.0,3550.0,3350.0,3850.0,500.0,25.0,0.8567961165048542
2021,Singapore Institute Of Technology,Sit-Trinity College Dublin,Bachelor Of Science (Physiotherapy),97.9,96.8,3516.0,3500.0,3591.0,3525.0,3400.0,3800.0,400.0,66.0,0.9887640449438201
2021,Singapore Institute Of Technology,Sit-University Of Glasgow,Bachelor Of Engineering With Honours In Civil Engineering,92.8,92.8,3650.0,3600.0,3719.0,3675.0,3500.0,3933.0,433.0,44.0,1.0
2021,Singapore Institute Of Technology,Sit-University Of Glasgow,Bachelor Of Science With Honours In Nursing,98.3,86.4,3403.0,3350.0,3697.0,3700.0,3350.0,3990.0,640.0,-3.0,0.878942014242116
2021,Singapore Institute Of Technology,Technische Universität München,Bachelor Of Science In Chemical Engineering,95.7,87.0,3495.0,3500.0,3645.0,3557.0,3400.0,3865.0,465.0,88.0,0.9090909090909091
2021,Singapore Institute Of Technology,Technische Universität München,Bachelor Of Science In Electrical Engineering & Information Technology ^,81.5,74.1,3649.0,3600.0,3806.0,3700.0,3250.0,4265.0,1015.0,106.0,0.90920245398773
2021,Singapore Institute Of Technology,The Culinary Institute Of America,Bachelor Of Business Administration In Food Business Management,91.9,67.7,2647.0,2500.0,2817.0,2700.0,2500.0,3100.0,600.0,117.0,0.7366702937976061
2021,Singapore Institute Of Technology,The Glasgow School Of Art,Bachelor Of Arts With Honours In Communication Design,94.4,59.3,2951.0,3000.0,2989.0,3000.0,2700.0,3200.0,500.0,-11.0,0.6281779661016949
2021,Singapore Institute Of Technology,The Glasgow School Of Art,Bachelor Of Arts With Honours In Interior Design,94.3,65.7,2761.0,3000.0,2807.0,3000.0,2500.0,3100.0,600.0,-193.0,0.6967126193001061
2021,Singapore Institute Of Technology,University Of Liverpool,Bachelor Of Arts With Honours In Criminology And Security,95.5,81.8,3807.0,3600.0,4001.0,3850.0,3400.0,4500.0,1100.0,151.0,0.856544502617801
2021,Singapore Management University,School Of Accountancy (4-Year Programme) *,Accountancy,98.7,93.0,3751.0,3400.0,3814.0,3400.0,3200.0,4000.0,800.0,414.0,0.9422492401215805
2021,Singapore Management University,School Of Accountancy (4-Year Programme) *,Accountancy (Cum Laude And Above),97.9,92.6,4161.0,3700.0,4213.0,3850.0,3300.0,4600.0,1300.0,363.0,0.9458631256384065
2021,Singapore Management University,School Of Business (4-Year Programme) *,Business Management,96.6,86.0,4229.0,4000.0,4371.0,4000.0,3500.0,4650.0,1150.0,371.0,0.8902691511387164
2021,Singapore Management University,School Of Business (4-Year Programme) *,Business Management (Cum Laude And Above),96.6,90.3,4705.0,4333.0,4855.0,4480.0,3800.0,5043.0,1243.0,375.0,0.9347826086956522
2021,Singapore Management University,School Of Economics (4-Year Programme) *,Economics,91.8,83.5,4641.0,4275.0,4777.0,4435.0,3800.0,5250.0,1450.0,342.0,0.9095860566448802
2021,Singapore Management University,School Of Economics (4-Year Programme) *,Economics (Cum Laude And Above),94.1,91.2,5209.0,4750.0,5310.0,4900.0,4191.0,5810.0,1619.0,410.0,0.969181721572795
2021,Singapore Management University,School Of Information Systems (4-Year Programme) *,Information Systems,98.2,94.6,4774.0,4860.0,4906.0,5000.0,4200.0,5350.0,1150.0,-94.0,0.9633401221995925
2021,Singapore Management University,School Of Information Systems (4-Year Programme) *,Information Systems (Cum Laude And Above),97.4,93.6,5317.0,5050.0,5499.0,5350.0,5000.0,5833.0,833.0,149.0,0.9609856262833675
2021,Singapore Management University,School Of Social Sciences (4-Year Programme) *,Social Sciences,94.1,77.1,3656.0,3465.0,3836.0,3600.0,3200.0,4010.0,810.0,236.0,0.8193411264612115
